-,inicio,varinicio,varfim,;,id,int,real,lit,leia,escreva,literal,num,rcb,opm,se,(,),entao,opr,fimse,fim,$,P',P,V,A,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CABEÇALHO,CORPO,EXP_R
00,s02,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,e00,-,t01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,e01,ACC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02,e02,s04,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,e02,-,-,t03,-,-,-,-,-,-,-,-,-,-,-,-,-
03,e03,e03,e03,e03,s12,e03,e03,e03,s10,s11,e03,e03,e03,e03,s14,e03,e03,e03,e03,e03,s09,e03,-,-,-,t05,-,-,-,t06,-,t07,-,-,t08,t13,-,-
04,e04,e04,s17,e04,s18,e04,e04,e04,e04,e04,e04,e04,e04,e04,e04,e04,e04,e04,e04,e04,e04,e04,-,-,-,-,t15,t16,-,-,-,-,-,-,-,-,-,-
05,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,r02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06,e06,e06,e06,e06,s12,e06,e06,e06,s10,s11,e06,e06,e06,e06,s14,e06,e06,e06,e06,e06,s09,e06,-,-,-,t19,-,-,-,t06,-,t07,-,-,t08,t13,-,-
07,e07,e07,e07,e07,s12,e07,e07,e07,s10,s11,e07,e07,e07,e07,s14,e07,e07,e07,e07,e07,s09,e07,-,-,-,t20,-,-,-,t06,-,t07,-,-,t08,t13,-,-
08,e08,e08,e08,e08,s12,e08,e08,e08,s10,s11,e08,e08,e08,e08,s14,e08,e08,e08,e08,e08,s09,e08,-,-,-,t21,-,-,-,t06,-,t07,,,t08,t13,-,-
09,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
